"lon" "lat" "date" "p_sum"
13.8499 45.7499 1951-09-13 0
13.8499 45.7499 1951-09-14 0
13.8499 45.7499 1951-09-15 0
13.8499 45.7499 1951-09-16 0
13.8499 45.7499 1951-09-17 27.600000411272
13.8499 45.7499 1951-09-18 7.70000011473894
13.8499 45.7499 1951-09-19 12.5000001862645
13.8499 45.7499 1951-09-20 0
13.8499 45.7499 1951-09-21 0
13.8499 45.7499 1951-09-22 0
13.8499 45.7499 1951-09-23 0
13.8499 45.7499 1951-09-24 26.9000004008412
13.8499 45.7499 1951-09-25 32.4000004827976
13.8499 45.7499 1951-09-26 18.100000269711
13.8499 45.7499 1951-09-27 0
13.8499 45.7499 1951-09-28 0
13.8499 45.7499 1951-09-29 12.900000192225
13.8499 45.7499 1951-09-30 10.1000001505017
13.8499 45.7499 1951-10-01 0
13.8499 45.7499 1951-10-02 0
13.8499 45.7499 1951-10-03 0
13.8499 45.7499 1951-10-04 0
13.8499 45.7499 1951-10-05 0
13.8499 45.7499 1951-10-06 0
13.8499 45.7499 1951-10-07 0
13.8499 45.7499 1951-10-08 0
13.8499 45.7499 1951-10-09 0
13.8499 45.7499 1951-10-10 0
13.8499 45.7499 1951-10-11 0
13.8499 45.7499 1951-10-12 0
13.8499 45.7499 1951-10-13 0
13.8499 45.7499 1951-10-14 0
13.8499 45.7499 1951-10-15 0
13.8499 45.7499 1951-10-16 0
13.8499 45.7499 1951-10-17 0
13.8499 45.7499 1951-10-18 0
13.8499 45.7499 1951-10-19 0
13.8499 45.7499 1951-10-20 0
13.8499 45.7499 1951-10-21 0
