"","Y","M","D","Tmax"
"11546",1951,8,11,21.5999995172024
"11547",1951,8,12,24.949999442324
"11548",1951,8,13,28.4999993629754
"11549",1951,8,14,27.9199993759394
"11550",1951,8,15,21.0199995301664
"11551",1951,8,16,22.4599994979799
"11552",1951,8,17,22.1599995046854
"11553",1951,8,18,21.3399995230138
"11554",1951,8,19,22.959999486804
"11555",1951,8,20,26.1999994143844
"11556",1951,8,21,26.1699994150549
"11557",1951,8,22,29.8999993316829
"11558",1951,8,23,27.9499993752688
"11559",1951,8,24,25.8499994222075
"11560",1951,8,25,26.3299994114786
"11561",1951,8,26,27.9099993761629
"11562",1951,8,27,27.6599993817508
"11563",1951,8,28,24.0899994615465
"11564",1951,8,29,29.0299993511289
"11565",1951,8,30,32.3799992762506
"11566",1951,8,31,31.5499992948025
"11567",1951,9,1,24.3299994561821
"11568",1951,9,2,22.979999486357
"11569",1951,9,3,25.7799994237721
"11570",1951,9,4,28.0299993734807
"11571",1951,9,5,25.9699994195253
"11572",1951,9,6,29.6399993374944
"11573",1951,9,7,31.1799993030727
"11574",1951,9,8,29.2699993457645
"11575",1951,9,9,21.2499995250255
"11576",1951,9,10,19.829999556765
"11577",1951,9,11,21.2299995254725
"11578",1951,9,12,26.6299994047731
"11579",1951,9,13,28.719999358058
"11580",1951,9,14,30.4899993184954
"11581",1951,9,15,20.5699995402247
"11582",1951,9,16,25.5999994277954
"11583",1951,9,17,19.6299995612353
"11584",1951,9,18,16.6499996278435
"11585",1951,9,19,16.369999634102
"11586",1951,9,20,14.0199996866286
"11587",1951,9,21,13.779999691993
"11588",1951,9,22,15.2499996591359
"11589",1951,9,23,16.4599996320903
"11590",1951,9,24,18.7399995811284
"11591",1951,9,25,18.959999576211
"11592",1951,9,26,20.409999543801
"11593",1951,9,27,20.4199995435774
"11594",1951,9,28,18.8399995788932
"11595",1951,9,29,14.6999996714294
"11596",1951,9,30,19.3799995668232
"11597",1951,10,1,16.8299996238202
"11598",1951,10,2,16.1199996396899
"11599",1951,10,3,15.9999996423721
"11600",1951,10,4,14.0399996861815
"11601",1951,10,5,13.4099997002631
"11602",1951,10,6,9.13999979570508
"11603",1951,10,7,10.5899997632951
"11604",1951,10,8,10.5199997648597
"11605",1951,10,9,12.4799997210503
"11606",1951,10,10,13.8199996910989
"11607",1951,10,11,15.0699996631593
"11608",1951,10,12,14.9999996647239
"11609",1951,10,13,12.0199997313321
"11610",1951,10,14,13.4399996995926
"11611",1951,10,15,13.3299997020513
"11612",1951,10,16,12.3899997230619
"11613",1951,10,17,15.7599996477365
"11614",1951,10,18,7.2899998370558
"11615",1951,10,19,4.34999990276992
"11616",1951,10,20,8.99999979883432
"11617",1951,10,21,15.7399996481836
"11618",1951,10,22,14.8499996680766
"11619",1951,10,23,13.509999698028
"11620",1951,10,24,10.4999997653067
"11621",1951,10,25,9.84999977983534
"11622",1951,10,26,11.0399997532368
"11623",1951,10,27,11.5499997418374
"11624",1951,10,28,10.8499997574836
"11625",1951,10,29,11.1599997505546
"11626",1951,10,30,11.4299997445196
"11627",1951,10,31,11.0899997521192
"11628",1951,11,1,11.8999997340143
"11629",1951,11,2,10.5499997641891
"11630",1951,11,3,7.37999983504415
"11631",1951,11,4,7.5199998319149
"11632",1951,11,5,8.52999980933964
"11633",1951,11,6,5.92999986745417
"11634",1951,11,7,6.63999985158443
"11635",1951,11,8,12.3899997230619
"11636",1951,11,9,12.8199997134507
"11637",1951,11,10,13.2399997040629
"11638",1951,11,11,12.1499997284263
"11639",1951,11,12,8.17999981716275
"11640",1951,11,13,11.3899997454137
"11641",1951,11,14,11.0899997521192
"11642",1951,11,15,7.88999982364476
"11643",1951,11,16,4.03999990969896
"11644",1951,11,17,9.67999978363514
"11645",1951,11,18,7.52999983169138
"11646",1951,11,19,10.5499997641891
"11647",1951,11,20,11.2799997478724
"11648",1951,11,21,12.3799997232854
"11649",1951,11,22,10.4999997653067
"11650",1951,11,23,8.25999981537461
"11651",1951,11,24,5.36999987997115
"11652",1951,11,25,12.1199997290969
"11653",1951,11,26,7.75999982655048
"11654",1951,11,27,5.49999987706542
"11655",1951,11,28,5.70999987237155
"11656",1951,11,29,5.26999988220632
"11657",1951,11,30,8.3799998126924
"11658",1951,12,1,8.86999980174005
"11659",1951,12,2,7.52999983169138
"11660",1951,12,3,3.87999991327524
"11661",1951,12,4,3.84999991394579
"11662",1951,12,5,9.00999979861081
"11663",1951,12,6,8.63999980688095
"11664",1951,12,7,7.31999983638525
"11665",1951,12,8,4.84999989159405
"11666",1951,12,9,6.86999984644353
"11667",1951,12,10,6.77999984845519
"11668",1951,12,11,3.20999992825091
"11669",1951,12,12,0.209999995306134
"11670",1951,12,13,3.92999991215765
"11671",1951,12,14,4.54999989829957
"11672",1951,12,15,3.08999993093312
"11673",1951,12,16,5.81999986991286
"11674",1951,12,17,4.46999990008771
"11675",1951,12,18,1.8399999588728
"11676",1951,12,19,4.30999990366399
"11677",1951,12,20,2.70999993942678
"11678",1951,12,21,3.16999992914498
"11679",1951,12,22,3.11999993026257
"11680",1951,12,23,0.519999988377094
"11681",1951,12,24,1.27999997138977
"11682",1951,12,25,0.679999984800816
"11683",1951,12,26,4.98999988846481
"11684",1951,12,27,3.62999991886318
"11685",1951,12,28,5.07999988645315
"11686",1951,12,29,2.79999993741512
"11687",1951,12,30,3.43999992311001
"11688",1951,12,31,3.71999991685152
"11689",1952,1,1,4.42999990098178
"11690",1952,1,2,4.89999989047647
"11691",1952,1,3,6.15999986231327
